Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CLNS^D,"Colony NorthStar, Inc.",26.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clns^d
CLNS^E,"Colony NorthStar, Inc.",26.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clns^e
CLNS^G,"Colony NorthStar, Inc.",25.8594,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clns^g
CLNS^H,"Colony NorthStar, Inc.",25.6389,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clns^h
CLNS^I,"Colony NorthStar, Inc.",25.5709,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clns^i
CLNS^J,"Colony NorthStar, Inc.",25.37,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/clns^j
COLB,"Columbia Banking System, Inc.",44.23,$2.58B,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
CXP,"Columbia Property Trust, Inc.",22.14,$2.65B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxp
STK,"Columbia Seligman Premium Technology Growth Fund, Inc",23.66,$363.85M,2009,n/a,n/a,http://www.nasdaq.com/symbol/stk
COLM,Columbia Sportswear Company,61.8,$4.31B,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm
CMCO,Columbus McKinnon Corporation,38.24,$879.46M,1996,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco
CBMX,CombiMatrix Corporation,7.05,$20.58M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cbmx
CBMXW,CombiMatrix Corporation,2.4,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cbmxw
CCV,Comcast Corporation,25.36,n/a,2012,Consumer Services,Television Services,http://www.nasdaq.com/symbol/ccv
CCZ,Comcast Corporation,58.194,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/ccz
CMCSA,Comcast Corporation,35.69,$166.81B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
CMA,Comerica Incorporated,79.75,$13.87B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cma
CMA.WS,Comerica Incorporated,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cma.ws
FIX,"Comfort Systems USA, Inc.",42.25,$1.57B,1997,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/fix
MOC,Command Security Corporation,3.17,$31.04M,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/moc
CBSH,"Commerce Bancshares, Inc.",57.85,$5.88B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
CBSHP,"Commerce Bancshares, Inc.",26.88,$2.46B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
CUBN,"Commerce Union Bancshares, Inc.",23.48,$211.84M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubn
CHUBA,"CommerceHub, Inc.",22.01,$951.92M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba
CHUBK,"CommerceHub, Inc.",21.05,$910.4M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk
CMC,Commercial Metals Company,19.2,$2.22B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cmc
CVGI,"Commercial Vehicle Group, Inc.",8.32,$256.5M,2004,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi
COMM,"CommScope Holding Company, Inc.",33.51,$6.47B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
JCS,"Communications Systems, Inc.",4.2,$37.62M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
CBU,"Community Bank System, Inc.",54.41,$2.75B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbu
ESXB,Community Bankers Trust Corporation.,8.7,$191.82M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CCFI,Community Choice Financial Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ccfi
CFBI,"Community First Bancshares, Inc.",13.1301,$98.98M,2017,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbi
CYH,"Community Health Systems, Inc.",4.4,$504.94M,2000,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyh
CYHHZ,"Community Health Systems, Inc.",0.0086,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyhhz
CHCT,Community Healthcare Trust Incorporated,27.71,$499.02M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/chct
CTBI,"Community Trust Bancorp, Inc.",48.55,$858.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,Community West Bancshares,10.4705,$85.53M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
CVLT,"Commvault Systems, Inc.",53.25,$2.46B,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CIG,Comp En De Mn Cemig ADS,2.09,$2.71B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cig
CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cig.c
CBD,Companhia Brasileira de Distribuicao,22.59,$6.01B,1997,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/cbd
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,8.85,$6.05B,2002,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/sbs
ELP,Companhia Paranaense de Energia (COPEL),7.42,$2.03B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/elp
CCU,"Compania Cervecerias Unidas, S.A.",27.66,$5.11B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ccu
CODI,Compass Diversified Holdings,16.85,$1.01B,2006,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/codi
CODI^A,Compass Diversified Holdings,25.08,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/codi^a
CMP,"Compass Minerals International, Inc.",65.75,$2.22B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cmp
CGEN,Compugen Ltd.,2.95,$150.84M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen
CPSI,"Computer Programs and Systems, Inc.",29.05,$399.6M,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",5.02,$77.77M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CIX,CompX International Inc.,14.2,$176.45M,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix
CHCI,"Comstock Holding Companies, Inc.",1.6201,$5.6M,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
LODE,"Comstock Mining, Inc.",0.0994,$20.88M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CRK,"Comstock Resources, Inc.",5.62,$86.99M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crk
CMTL,Comtech Telecommunications Corp.,20.65,$487.05M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CAG,"ConAgra Brands, Inc.",33.91,$13.85B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/cag
CNAT,Conatus Pharmaceuticals Inc.,4.45,$133.52M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNCE,"Concert Pharmaceuticals, Inc.",17.21,$390.45M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
CXO,Concho Resources Inc.,142.85,$21.24B,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxo
CCM,Concord Medical Services Holdings Limited,3.8,$164.78M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/ccm
CXRX,Concordia International Corp.,0.5321,$27.29M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cxrx
CCUR,Concurrent Computer Corporation,6.22,$61.54M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CDOR,"Condor Hospitality Trust, Inc.",10.15,$118.05M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CDOR,"Condor Hospitality Trust, Inc.",10.15,$118.05M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CNDT,Conduent Incorporated,15.35,$3.23B,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cndt
CNNX,Cone Midstream Partners LP,16.9,$1.07B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/cnnx
CFMS,"ConforMIS, Inc.",3.54,$159.32M,2015,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/cfms
CNFR,"Conifer Holdings, Inc.",6.25,$52.08M,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cnfr
CNMD,CONMED Corporation,53.37,$1.49B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,"Connecticut Water Service, Inc.",62.995,$729.19M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,"ConnectOne Bancorp, Inc.",27.15,$869.22M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
CONN,"Conn&#39;s, Inc.",30.5,$951.81M,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
COP,ConocoPhillips,52.96,$63.31B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop
CNX,CONSOL Energy Inc.,16.27,$3.74B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/cnx
CNSL,"Consolidated Communications Holdings, Inc.",16.05,$1.14B,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
ED,Consolidated Edison Inc,87.04,$26.61B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ed
CWCO,Consolidated Water Co. Ltd.,11.85,$176.57M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco
CTO,Consolidated-Tomoka Land Co.,57.52,$321.06M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto
CNAC,Constellation Alpha Capital Corp.,9.73,$180.3M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnac
CNACR,Constellation Alpha Capital Corp.,0.2617,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacr
CNACU,Constellation Alpha Capital Corp.,10.13,$145.62M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacu
CNACW,Constellation Alpha Capital Corp.,0.23,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/cnacw
STZ,Constellation Brands Inc,215.91,$42.23B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/stz
STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/stz.b
CSTM,Constellium N.V.,11.55,$1.22B,2013,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cstm
CPSS,"Consumer Portfolio Services, Inc.",4.32,$98.2M,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
TCS,Container Store (The),3.56,$171.9M,2013,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/tcs
MCF,Contango Oil & Gas Company,4.15,$106.28M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf
CBPX,"Continental Building Products, Inc.",26.5,$1.02B,2014,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cbpx
CUO,Continental Materials Corporation,19.44,$32.7M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cuo
CLR,"Continental Resources, Inc.",42.37,$15.9B,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/clr
CFRX,ContraFect Corporation,1.05,$77.34M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx
CTRV,ContraVir Pharmaceuticals Inc,0.5099,$39.91M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv
CTRL,Control4 Corporation,31.53,$783.7M,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",10.02,$1B,2013,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/vlrs
CVG,Convergys Corporation,25.29,$2.36B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/cvg
COO,"Cooper Companies, Inc. (The)",229.27,$11.22B,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/coo
CTB,Cooper Tire & Rubber Company,32,$1.64B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/ctb
CPS,Cooper-Standard Holdings Inc.,116.94,$2.07B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cps
CPA,"Copa Holdings, S.A.",123.78,$5.21B,2005,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cpa
CPRT,"Copart, Inc.",36.41,$8.4B,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",6.9,$346.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp
CORT,Corcept Therapeutics Incorporated,17.31,$1.96B,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
CLB,Core Laboratories N.V.,102.2,$4.51B,1995,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/clb
CMT,Core Molding Technologies Inc,21.25,$166.99M,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt
CXW,"CoreCivic, Inc.",24.53,$2.9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cxw
CLGX,"CoreLogic, Inc.",46.82,$3.86B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx
CORE,"Core-Mark Holding Company, Inc.",33.85,$1.57B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
CORR,"CorEnergy Infrastructure Trust, Inc.",35.92,$427.55M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/corr
CORR^A,"CorEnergy Infrastructure Trust, Inc.",26.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/corr^a
COR,CoreSite Realty Corporation,112.6,$3.86B,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cor
COR^A.CL,CoreSite Realty Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cor^a.cl
CVRS,"Corindus Vascular Robotics, Inc.",0.9664,$181M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cvrs
CORI,"Corium International, Inc.",11.21,$400.68M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori
CRMD,CorMedix Inc,0.634,$39.14M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crmd
CSOD,"Cornerstone OnDemand, Inc.",37.95,$2.19B,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",14.85,$327.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",15.03,$655M,1987,n/a,n/a,http://www.nasdaq.com/symbol/clm
GLW,Corning Incorporated,31.67,$27.52B,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw
GYC,Corporate Asset Backed Corp CABCO,23.8029,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/gyc
OFC,Corporate Office Properties Trust,32.35,$3.22B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ofc
CRVL,CorVel Corp.,57.5,$1.08B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
CRVS,"Corvus Pharmaceuticals, Inc.",14.55,$304.6M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crvs
CZZ,Cosan Limited,8.39,$2.22B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/czz
CMRE,Costamare Inc.,6.05,$646.66M,2010,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,24.89,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,25.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,26.43,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmre^d
CSGP,"CoStar Group, Inc.",295.78,$10.69B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
COST,Costco Wholesale Corporation,166.42,$72.72B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
COTV,"Cotiviti Holdings, Inc.",31.54,$2.91B,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cotv
COT,Cott Corporation,14.74,$2.05B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/cot
COTY,Coty Inc.,14.36,$10.76B,2013,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/coty
CPAH,CounterPath Corporation,2.9824,$16.36M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
CFC^B,Countrywide Financial Corporation,25.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfc^b
ICBK,"County Bancorp, Inc.",31.11,$206.61M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/icbk
COUP,Coupa Software Incorporated,35.02,$1.88B,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/coup
CUZ,Cousins Properties Incorporated,9.01,$3.78B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,15.45,$2.02B,n/a,Basic Industries,Electric Utilities: Central,http://www.nasdaq.com/symbol/cva
CVTI,"Covenant Transportation Group, Inc.",29.19,$533.82M,1994,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti
COWN,Cowen Inc.,14.4,$447.66M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
COWNL,Cowen Inc.,26.67,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cownl
CPF,CPB Inc.,31.09,$946.35M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cpf
CPL,CPFL Energia S.A.,16.56,$8.43B,2004,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cpl
CVU,"CPI Aerostructures, Inc.",8.75,$77.41M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu
PMTS,CPI Card Group Inc.,1.08,$60.04M,2015,Finance,Finance Companies,http://www.nasdaq.com/symbol/pmts
CPSH,CPS Technologies Corp.,1.2,$15.84M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpsh
CRAI,"CRA International,Inc.",44.04,$362.19M,1998,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai
CBRL,"Cracker Barrel Old Country Store, Inc.",155.99,$3.76B,1981,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl
BREW,"Craft Brew Alliance, Inc.",17.55,$338.61M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CR,Crane Company,84.37,$5.03B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/cr
CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crd.b
CRAY,Cray Inc,19.05,$770.34M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
BAP,Credicorp Ltd.,207.32,$19.57B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bap
CACC,Credit Acceptance Corporation,280.47,$5.42B,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
USOI,Credit Suisse AG,25.4282,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/usoi
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.33,$174.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik
CS,Credit Suisse Group,16.17,$41.29B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cs
DHY,Credit Suisse High Yield Bond Fund,2.84,$284.13M,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy
CREE,"Cree, Inc.",34.08,$3.34B,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CPG,Crescent Point Energy Corporation,8.22,$4.48B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cpg
CEQP,Crestwood Equity Partners LP,24.95,$1.76B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceqp
CRESY,Cresud S.A.C.I.F. y A.,22.95,$1.15B,1997,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
CRHM,CRH Medical Corporation,1.85,$137.14M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/crhm
CRH,CRH PLC,36.54,$30.58B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/crh
CRSP,CRISPR Therapeutics AG,19.025,$772.26M,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/crsp
CRTO,Criteo S.A.,37.67,$2.46B,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CROX,"Crocs, Inc.",9.15,$656.62M,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
CCRN,"Cross Country Healthcare, Inc.",12.115,$442.13M,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CRT,Cross Timbers Royalty Trust,15.049,$90.29M,1992,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crt
CAPL,CrossAmerica Partners LP,25,$846.52M,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/capl
CCI,Crown Castle International Corporation,106.51,$43.27B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci
CCI^A,Crown Castle International Corporation,1094,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cci^a
CRWS,"Crown Crafts, Inc.",6.1,$61.35M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CCK,"Crown Holdings, Inc.",60.42,$8.11B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cck
CRY,"CryoLife, Inc.",19.05,$637.37M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cry
CYRX,"CryoPort, Inc.",6.68,$165.99M,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrx
CYRXW,"CryoPort, Inc.",3.27,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrxw
CRVP,"Crystal Rock Holdings, Inc.",0.72,$15.38M,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp
CSGS,"CSG Systems International, Inc.",43.69,$1.47B,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CCLP,CSI Compressco LP,4.72,$170.9M,2011,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp
CSPI,CSP Inc.,11.05,$43.36M,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSRA,CSRA Inc.,31.34,$5.12B,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/csra
CSS,"CSS Industries, Inc.",30.05,$273.29M,n/a,Consumer Services,Consumer: Greeting Cards,http://www.nasdaq.com/symbol/css
CSWI,"CSW Industrials, Inc.",49.35,$784.07M,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
CSX,CSX Corporation,51.31,$45.86B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTIC,CTI BioPharma Corp.,3.04,$130.65M,1997,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctic
CTIB,CTI Industries Corporation,3.75,$13.22M,1997,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CTRP,"Ctrip.com International, Ltd.",46.4,$23.81B,2003,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
CTS,CTS Corporation,26.65,$877.77M,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/cts
CUBE,CubeSmart,28.16,$5.09B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cube
CUB,Cubic Corporation,53.75,$1.46B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cub
CUI,"CUI Global, Inc.",2.9,$82.33M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cui
CFR,"Cullen/Frost Bankers, Inc.",97.86,$6.18B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfr
CFR^A,"Cullen/Frost Bankers, Inc.",25.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cfr^a
CULP,"Culp, Inc.",30.65,$381.32M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/culp
CPIX,Cumberland Pharmaceuticals Inc.,7.49,$119.07M,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpix
CMI,Cummins Inc.,173.07,$28.72B,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cmi
CMLS,Cumulus Media Inc.,0.304,$8.91M,1998,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cmls
CRIS,"Curis, Inc.",1.56,$224.45M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cris
CW,Curtiss-Wright Corporation,119.8,$5.29B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw
SRF,Cushing Energy Income Fund (The),8.62,$21.33M,2012,n/a,n/a,http://www.nasdaq.com/symbol/srf
SZC,Cushing Renaissance Fund (The),18.44,$107.95M,2012,n/a,n/a,http://www.nasdaq.com/symbol/szc
CUBI,"Customers Bancorp, Inc",26.61,$819.26M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubi
CUBI^C,"Customers Bancorp, Inc",26.9752,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^c
CUBI^D,"Customers Bancorp, Inc",26.78,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^d
CUBI^E,"Customers Bancorp, Inc",26.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubi^e
